Higher taxonomic group,Order,Family,Genus,species,data or source,chromosome number (female),chromosome number (male),c-value,"predicted ploidy (1n, 2n, 3n, 4n)","sexes not separate (hemaphroditic, monoecious, gynodioecious, androdioecious)","karyotype (ZO, ZW, XY, XO, WO, homomorphic, complex XY, complex ZW) ","genotypic  (male or female heterogametic, GSD, polygenic)","maternal/haplo-diploid (maternal, haplo-diploid)","environmental (TSD, TSD Ia, TSD II, size, density, pH, ESD_other)","polyfactorial (yes, no)","molecular basis (dosage, Y dominant, W dominant)",entry initials,"notes, comments",source: chromosome number (female),source: chromosome number (male),source: c-value,"source: predicted ploidy (1n, 2n, 3n, 4n)","source: sexes not separate (hemaphroditic, monoecious, gynodioecious, androdioecious)","source: karyotype (ZO, ZW, XY, XO, WO, homomorphic, complex XY, complex ZW) ","source: genotypic  (male or female heterogametic, GSD, polygenic)","source: maternal/haplo-diploid (maternal, haplo-diploid)","source: environmental (TSD, TSD Ia, TSD II, size, density, pH, ESD_other)","source: polyfactorial (yes, no)","source: molecular basis (dosage, Y dominant, W dominant)"
Fish,Perciformes,labridae,Choerodon,schoenleinii,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Cirrhilabrus,temminckii,data,34,34,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Clepticus,parrae,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Coris,julis,data,48,48,1.21,,,,,,density,,,JEM,esd is based on population density at maturation,http://www.genomesize.com,http://www.genomesize.com,http://www.genomesize.com,,,,,,Badcock|J.|1986,,
Fish,Perciformes,labridae,Decodon,melasma,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Francis|R.C.|1992,,,,,,
Fish,Perciformes,labridae,Epidulus,insidiator,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Halichoeres,bivattatus,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Halichoeres,garnoti,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Halichoeres,maculipinna,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Halichoeres,marginatus,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Halichoeres,melanochir,data,48,48,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Halichoeres,pictus,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Halichoeres,poecilopterus,data,48,48,1.21,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,http://www.genomesize.com,http://www.genomesize.com,http://www.genomesize.com,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Halichoeres,poeyi,data,48,48,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Halichoeres,radiatus,data,48,48,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Halichoeres,scapularis,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Labriodes ,dimidiatus-1,data,,,0.69,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,http://www.genomesize.com,,Robertson|D.R.|1972 ,,,,,,
Fish,Perciformes,labridae,Labriodes ,dimidiatus-2,data,48,48,0.89,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,http://www.genomesize.com,http://www.genomesize.com,http://www.genomesize.com,,Robertson|D.R.|1972 ,,,,,,
Fish,Perciformes,labridae,Labrus,berggylta,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Labrus,bimaculatus,data,48,48,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,Arai|Ryoichi|2011|Arai 2011 Fish Karyotypes,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Nelabrichthys,ornatus,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Notolabrus,celidotus,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Pseudolabrus,japonicus,data,48,48,1.07,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,http://www.genomesize.com,http://www.genomesize.com,http://www.genomesize.com,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Pteragogus,flagillifer,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Semicossyphus,pulcher,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Stethojulis,trilineata,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Symphodus,melanocercus,data,,,,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Symphodus,roissali,data,38,38,0.76,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,http://www.genomesize.com,http://www.genomesize.com,http://www.genomesize.com,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Symphodus,tinca-1,data,48,48,0.72,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,http://www.genomesize.com,http://www.genomesize.com,http://www.genomesize.com,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Symphodus,tinca-2,data,48,48,0.73,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,http://www.genomesize.com,http://www.genomesize.com,http://www.genomesize.com,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Symphodus,tinca-3,data,,,1.11,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,http://www.genomesize.com,,Devlin|R.H.|2002|Devlin and Nagahama 2002,,,,,,
Fish,Perciformes,labridae,Thalassoma,bifasciatum,data,,,0.98,,hermaphrodite,,,,,,,JEM,protogynous hermaphrodite,,,http://www.genomesize.com,,St Mary|C.M.|1998,,,,,,
